"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PF","Kenneth Faried",5000,"Hou@Den 10:30PM ET",22.938
"C","Tyler Zeller",5000,"Orl@Bos 07:30PM ET",17.225
"SF","Terrence Ross",5000,"Bkn@Tor 08:00PM ET",19.466
"C","Rudy Gobert",5000,"Uta@Mia 07:30PM ET",15.818
"SF","Jabari Parker",5000,"Mil@Por 10:00PM ET",24.522
"SG","Manu Ginobili",4900,"Mem@SA 08:30PM ET",23.605
"PF","Luis Scola",4900,"Ind@LAC 10:30PM ET",22.659
"SF","Khris Middleton",4900,"Mil@Por 10:00PM ET",18.263
"C","Kelly Olynyk",4900,"Orl@Bos 07:30PM ET",23.725
"PG","Elfrid Payton",4900,"Orl@Bos 07:30PM ET",20.635
"SG","O.J. Mayo",4800,"Mil@Por 10:00PM ET",20.478
"PG","Cory Joseph",4800,"Mem@SA 08:30PM ET",16.938
"SG","Evan Fournier",4800,"Orl@Bos 07:30PM ET",22.076
"C","J.J. Hickson",4700,"Hou@Den 10:30PM ET",19.839
"C","Larry Sanders",4700,"Mil@Por 10:00PM ET",20.648
"SG","Lou Williams",4600,"Bkn@Tor 08:00PM ET",20.511
"SF","Evan Turner",4600,"Orl@Bos 07:30PM ET",20.125
"SF","Matt Barnes",4500,"Ind@LAC 10:30PM ET",16.145
"PG","Raymond Felton",4500,"Dal@Det 07:30PM ET",0
"PF","Boris Diaw",4500,"Mem@SA 08:30PM ET",21.466
"PF","Ersan Ilyasova",4500,"Mil@Por 10:00PM ET",17.947
"C","Aron Baynes",4500,"Mem@SA 08:30PM ET",15.023
"SG","Kentavious Caldwell-Pope",4500,"Dal@Det 07:30PM ET",20.693
"PF","Kevin Garnett",4400,"Bkn@Tor 08:00PM ET",22.500
"PG","Devin Harris",4400,"Dal@Det 07:30PM ET",20.170
"PF","Brandon Bass",4400,"Orl@Bos 07:30PM ET",16.563
"SG","Courtney Lee",4400,"Mem@SA 08:30PM ET",21.583
"SG","Marco Belinelli",4400,"Mem@SA 08:30PM ET",15.179
"SG","Randy Foye",4300,"Hou@Den 10:30PM ET",14.659
"SF","P.J. Tucker",4300,"Pho@Cha 07:00PM ET",19.224
"PG","Greivis Vasquez",4300,"Bkn@Tor 08:00PM ET",18.591
"PG","Jerryd Bayless",4300,"Mil@Por 10:00PM ET",12.837
"PF","Marcus Morris",4300,"Pho@Cha 07:00PM ET",19.228
"SG","Dion Waiters",4300,"Atl@Cle 07:00PM ET",16.671
"PF","Cody Zeller",4300,"Pho@Cha 07:00PM ET",18.345
"SF","Kostas Papanikolaou",4300,"Hou@Den 10:30PM ET",18.908
"PG","Jarrett Jack",4200,"Bkn@Tor 08:00PM ET",19.063
"PF","Cory Jefferson",4200,"Bkn@Tor 08:00PM ET",5.389
"SG","Avery Bradley",4200,"Orl@Bos 07:30PM ET",19.188
"PF","Aaron Gordon",4200,"Orl@Bos 07:30PM ET",11.841
"C","Miles Plumlee",4100,"Pho@Cha 07:00PM ET",16.185
"C","Kyle O'Quinn",4100,"Orl@Bos 07:30PM ET",22.361
"PG","Marcus Smart",4100,"Orl@Bos 07:30PM ET",14.139
"PG","Jameer Nelson",4000,"Dal@Det 07:30PM ET",19.200
"C","Chris Kaman",4000,"Mil@Por 10:00PM ET",21.886
"C","Zaza Pachulia",4000,"Mil@Por 10:00PM ET",17.588
"SF","C.J. Miles",4000,"Ind@LAC 10:30PM ET",15.867
"PG","D.J. Augustin",4000,"Dal@Det 07:30PM ET",17.011
"PF","Brandan Wright",4000,"Dal@Det 07:30PM ET",18.990
"PF","Darrell Arthur",4000,"Hou@Den 10:30PM ET",16.321
"C","JaVale McGee",4000,"Hou@Den 10:30PM ET",11.214
"C","Tiago Splitter",4000,"Mem@SA 08:30PM ET",11.875
"PG","Norris Cole",4000,"Uta@Mia 07:30PM ET",17.292
"PG","Isaiah Canaan",4000,"Hou@Den 10:30PM ET",16.750
"SF","Solomon Hill",4000,"Ind@LAC 10:30PM ET",22.466
"C","Alex Len",4000,"Pho@Cha 07:00PM ET",14.728
"SF","Tony Allen",3900,"Mem@SA 08:30PM ET",20.026
"PG","J.J. Barea",3800,"Dal@Det 07:30PM ET",17.543
"PF","Josh McRoberts",3800,"Uta@Mia 07:30PM ET",11.809
"SF","Bojan Bogdanovic",3700,"Bkn@Tor 08:00PM ET",15.450
"SF","Marvin Williams",3600,"Pho@Cha 07:00PM ET",13.632
"SG","Gerald Henderson",3600,"Pho@Cha 07:00PM ET",13.934
"PF","Trevor Booker",3600,"Uta@Mia 07:30PM ET",15.841
"SF","James Johnson",3600,"Bkn@Tor 08:00PM ET",17.816
"SF","Kyle Singler",3600,"Dal@Det 07:30PM ET",13.841
"SG","Alan Anderson",3500,"Bkn@Tor 08:00PM ET",9.313
"SG","Gary Neal",3500,"Pho@Cha 07:00PM ET",18.267
"SF","Shawne Williams",3500,"Uta@Mia 07:30PM ET",17.795
"SF","Michael Kidd-Gilchrist",3500,"Pho@Cha 07:00PM ET",19.893
"SF","Francisco Garcia",3400,"Hou@Den 10:30PM ET",8.339
"SF","Chris Copeland",3400,"Ind@LAC 10:30PM ET",18.784
"PF","Joey Dorsey",3400,"Hou@Den 10:30PM ET",8.281
"PG","Donald Sloan",3400,"Ind@LAC 10:30PM ET",23.895
"C","Lavoy Allen",3400,"Ind@LAC 10:30PM ET",20.274
"PF","Tarik Black",3400,"Hou@Den 10:30PM ET",12.908
"SG","Jodie Meeks",3300,"Dal@Det 07:30PM ET",0
"SF","Caron Butler",3100,"Dal@Det 07:30PM ET",13.750
"SF","Jared Dudley",3100,"Mil@Por 10:00PM ET",11.370
"PG","Beno Udrih",3100,"Mem@SA 08:30PM ET",14.363
"PG","Dante Exum",3100,"Uta@Mia 07:30PM ET",10.216
"SG","Vince Carter",3000,"Mem@SA 08:30PM ET",10.829
"C","Elton Brand",3000,"Atl@Cle 07:00PM ET",11.063
"SF","Shawn Marion",3000,"Atl@Cle 07:00PM ET",14.063
"SF","Mike Miller",3000,"Atl@Cle 07:00PM ET",4.865
"SF","Hedo Turkoglu",3000,"Ind@LAC 10:30PM ET",5.706
"SF","Richard Jefferson",3000,"Dal@Det 07:30PM ET",8.974
"C","Brendan Haywood",3000,"Atl@Cle 07:00PM ET",4.750
"SF","Gerald Wallace",3000,"Orl@Bos 07:30PM ET",1.750
"PF","Matt Bonner",3000,"Mem@SA 08:30PM ET",13.297
"PG","Steve Blake",3000,"Mil@Por 10:00PM ET",15.011
"SG","James Jones",3000,"Atl@Cle 07:00PM ET",7.125
"SG","Willie Green",3000,"Orl@Bos 07:30PM ET",7.400
"PG","Luke Ridnour",3000,"Orl@Bos 07:30PM ET",11.563
"PF","Chuck Hayes",3000,"Bkn@Tor 08:00PM ET",6.365
"SG","Ben Gordon",3000,"Orl@Bos 07:30PM ET",10.536
"PF","Jason Maxiell",3000,"Pho@Cha 07:00PM ET",5.600
"PF","Louis Amundson",3000,"Atl@Cle 07:00PM ET",4.500
"SF","Danny Granger",3000,"Uta@Mia 07:30PM ET",6.750
"C","Chris Andersen",3000,"Uta@Mia 07:30PM ET",8.278
