"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"WR","Darrius Heyward-Bey",3000,"Bal@Pit 08:15PM ET",0.331
"WR","Brandon Tate",3000,"Cin@Ind 01:05PM ET",2.713
"TE","Ed Dickson",3000,"Ari@Car 04:35PM ET",1.719
"WR","Dwayne Harris",3000,"Det@Dal 04:40PM ET",1.081
"TE","Rob Housler",3000,"Ari@Car 04:35PM ET",1.467
"WR","Jacoby Jones",3000,"Bal@Pit 08:15PM ET",1.731
"WR","Jeremy Ross",3000,"Det@Dal 04:40PM ET",3.706
"TE","Michael Palmer",3000,"Bal@Pit 08:15PM ET",0.473
"WR","Ryan Broyles",3000,"Det@Dal 04:40PM ET",0.900
"RB","Fozzy Whittaker",3000,"Ari@Car 04:35PM ET",3.750
"WR","Dane Sanzenbacher",3000,"Cin@Ind 01:05PM ET",1.840
"WR","Greg Little",3000,"Cin@Ind 01:05PM ET",2.150
"WR","Kamar Aiken",3000,"Bal@Pit 08:15PM ET",4.294
"RB","Robert Hughes",3000,"Ari@Car 04:35PM ET",1.444
"TE","Patrick Scales",3000,"Bal@Pit 08:15PM ET",0.000
"RB","Will Johnson",3000,"Bal@Pit 08:15PM ET",0.631
"TE","James Hanna",3000,"Det@Dal 04:40PM ET",0.550
"RB","George Winn",3000,"Det@Dal 04:40PM ET",0.608
"WR","Brenton Bersin",3000,"Ari@Car 04:35PM ET",2.273
"RB","Lance Dunbar",3000,"Det@Dal 04:40PM ET",3.100
"TE","Jack Doyle",3000,"Cin@Ind 01:05PM ET",2.613
"RB","Rex Burkhead",3000,"Cin@Ind 01:05PM ET",2.289
"WR","Michael Campanaro",3000,"Bal@Pit 08:15PM ET",5.800
"RB","Kyle Juszczyk",3000,"Bal@Pit 08:15PM ET",2.575
"TE","Ryan Hewitt",3000,"Cin@Ind 01:05PM ET",1.163
"RB","Stepfan Taylor",3000,"Ari@Car 04:35PM ET",4.693
"TE","Gavin Escobar",3000,"Det@Dal 04:40PM ET",2.719
"RB","Fitzgerald Toussaint",3000,"Bal@Pit 08:15PM ET",1.725
"WR","Devin Street",3000,"Det@Dal 04:40PM ET",0.238
"WR","Marlon Brown",3000,"Bal@Pit 08:15PM ET",3.536
"RB","Bernard Pierce",3000,"Bal@Pit 08:15PM ET",3.915
"WR","Justin Brown",3000,"Bal@Pit 08:15PM ET",2.550
"WR","James Wright",3000,"Cin@Ind 01:05PM ET",1.555
"TE","Brandon Williams",3000,"Ari@Car 04:35PM ET",0.600
"TE","Crockett Gillmore",3000,"Bal@Pit 08:15PM ET",1.873
"RB","Joseph Randle",3000,"Det@Dal 04:40PM ET",3.538
"WR","Corey Fuller",3000,"Det@Dal 04:40PM ET",2.513
"WR","Philly Brown",3000,"Ari@Car 04:35PM ET",5.931
"TE","Eric Ebron",3000,"Det@Dal 04:40PM ET",4.292
"WR","Brittan Golden",3000,"Ari@Car 04:35PM ET",0
"TE","Phillip Supernaw",3000,"Bal@Pit 08:15PM ET",0.750
"RB","Marion Grice",3000,"Ari@Car 04:35PM ET",2.000
"DST","Cardinals ",2800,"Ari@Car 04:35PM ET",8.938
"DST","Bengals ",1900,"Cin@Ind 01:05PM ET",6.563
