"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Garrett Grayson",5000,"NO@TB 01:00PM ET",0.000,"NO"
"QB","Trevor Siemian",5000,"Oak@Den 04:05PM ET",0,"Den"
"QB","Dylan Thompson",5000,"SF@Cle 01:00PM ET",0,"SF"
"QB","Jimmy Garoppolo",5000,"NE@Hou 08:30PM ET",-0.125,"NE"
"QB","Sean Mannion",5000,"Det@StL 01:00PM ET",1.240,"StL"
"QB","Brett Hundley",5000,"Dal@GB 04:25PM ET",0,"GB"
"QB","Johnny Manziel",5000,"SF@Cle 01:00PM ET",9.189,"Cle"
"RB","T.J. Yeldon",4900,"Ind@Jax 01:00PM ET",14.055,"Jax"
"WR","DeSean Jackson",4800,"Was@Chi 01:00PM ET",10.700,"Was"
"RB","Shaun Draughn",4800,"SF@Cle 01:00PM ET",7.289,"SF"
"RB","LeGarrette Blount",4800,"NE@Hou 08:30PM ET",10.936,"NE"
"RB","Latavius Murray",4800,"Oak@Den 04:05PM ET",13.983,"Oak"
"WR","Brandon LaFell",4700,"NE@Hou 08:30PM ET",9.271,"NE"
"TE","Travis Kelce",4700,"SD@KC 01:00PM ET",13.175,"KC"
