"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Chris Conley",3000,"SD@KC 01:00PM ET",3.225,"KC"
"WR","Quinton Patton",3000,"SF@Cle 01:00PM ET",4.292,"SF"
"WR","Quan Bray",3000,"Ind@Jax 01:00PM ET",0.000,"Ind"
"RB","Tre Mason",3000,"Det@StL 01:00PM ET",4.044,"StL"
"WR","Sammie Coates",3000,"Pit@Cin 01:00PM ET",0.300,"Pit"
"WR","Tre McBride",3000,"Ten@NYJ 01:00PM ET",0.000,"Ten"
"WR","Phillip Dorsett",3000,"Ind@Jax 01:00PM ET",4.729,"Ind"
"WR","Rashad Ross",3000,"Was@Chi 01:00PM ET",2.067,"Was"
"WR","Ty Montgomery",3000,"Dal@GB 04:25PM ET",7.000,"GB"
"WR","Marqise Lee",3000,"Ind@Jax 01:00PM ET",2.617,"Jax"
"WR","Adam Humphries",3000,"NO@TB 01:00PM ET",4.156,"TB"
"WR","Bruce Ellington",3000,"SF@Cle 01:00PM ET",1.567,"SF"
"RB","Aaron Ripkowski",3000,"Dal@GB 04:25PM ET",0.255,"GB"
"WR","Bradley Marquez",3000,"Det@StL 01:00PM ET",1.300,"StL"
"WR","Rashad Greene",3000,"Ind@Jax 01:00PM ET",6.780,"Jax"
"TE","Eric Ebron",3000,"Det@StL 01:00PM ET",9.070,"Det"
"WR","Darius Jennings",3000,"SF@Cle 01:00PM ET",8.500,"Cle"
"WR","Devin Smith",3000,"Ten@NYJ 01:00PM ET",2.833,"NYJ"
"RB","Akeem Hunt",3000,"NE@Hou 08:30PM ET",1.867,"Hou"
"RB","Raheem Mostert",3000,"Sea@Bal 01:00PM ET",0.000,"Bal"
"WR","Jeremy Butler",3000,"Sea@Bal 01:00PM ET",6.400,"Bal"
"WR","De'Anthony Thomas",3000,"SD@KC 01:00PM ET",4.540,"KC"
"RB","Bishop Sankey",3000,"Ten@NYJ 01:00PM ET",4.290,"Ten"
"WR","Cody Latimer",3000,"Oak@Den 04:05PM ET",1.673,"Den"
"WR","Tyrell Williams",3000,"SD@KC 01:00PM ET",0.000,"SD"
"RB","Trey Williams",3000,"NE@Hou 08:30PM ET",0,"NE"
"RB","Damien Williams",3000,"NYG@Mia 08:30PM ET",2.133,"Mia"
"RB","John Crockett",3000,"Dal@GB 04:25PM ET",2.200,"GB"
"RB","Cameron Artis-Payne",3000,"Atl@Car 01:00PM ET",0.775,"Car"
"WR","Lucky Whitehead",3000,"Dal@GB 04:25PM ET",1.236,"Dal"
"WR","Jaelen Strong",3000,"NE@Hou 08:30PM ET",3.467,"Hou"
"WR","Mario Alford",3000,"Pit@Cin 01:00PM ET",2.500,"Cin"
"WR","Taylor Gabriel",3000,"SF@Cle 01:00PM ET",4.930,"Cle"
"WR","Jeff Janis",3000,"Dal@GB 04:25PM ET",0.825,"GB"
"WR","Donteea Dye",3000,"NO@TB 01:00PM ET",2.100,"TB"
"TE","Vernon Davis",2900,"Oak@Den 04:05PM ET",5.600,"Den"
"DST","Bills ",2800,"Buf@Phi 01:00PM ET",6.417,"Buf"
"DST","Rams ",2800,"Det@StL 01:00PM ET",8.333,"StL"
"TE","Owen Daniels",2800,"Oak@Den 04:05PM ET",7.792,"Den"
"TE","Brent Celek",2800,"Buf@Phi 01:00PM ET",6.083,"Phi"
"TE","Vance McDonald",2800,"SF@Cle 01:00PM ET",4.982,"SF"
"TE","Will Tye",2800,"NYG@Mia 08:30PM ET",5.844,"NYG"
"DST","Lions ",2700,"Det@StL 01:00PM ET",6.167,"Det"
